[1783874433.055954] FIN/RST (FA) | 172.31.11.58:48460 -> 172.65.216.67:5500
[1783874455.033091] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:25872
[1783874457.034374] SYN | 172.31.11.58:35946 -> 172.65.216.67:5500
[1783874457.035896] SYN | 172.65.216.67:5500 -> 172.31.11.58:35946
[1783874457.036007] FIN/RST (FA) | 172.31.11.58:25872 -> 172.65.216.67:5500
[1783874481.047122] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:35946
[1783874483.047954] SYN | 172.31.11.58:54148 -> 172.65.216.67:5500
[1783874483.048810] SYN | 172.65.216.67:5500 -> 172.31.11.58:54148
[1783874483.048922] FIN/RST (FA) | 172.31.11.58:35946 -> 172.65.216.67:5500
[1783874506.079101] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:54148
[1783874508.080119] SYN | 172.31.11.58:52342 -> 172.65.216.67:5500
[1783874508.081047] SYN | 172.65.216.67:5500 -> 172.31.11.58:52342
[1783874508.081170] FIN/RST (FA) | 172.31.11.58:54148 -> 172.65.216.67:5500
[1783874519.723717] SYN | 172.31.11.58:41092 -> 172.65.216.67:5500
[1783874519.724410] SYN | 172.65.216.67:5500 -> 172.31.11.58:41092
[1783874531.046080] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:52342
[1783874533.047009] SYN | 172.31.11.58:60584 -> 172.65.216.67:5500
[1783874533.047762] SYN | 172.65.216.67:5500 -> 172.31.11.58:60584
[1783874533.047975] FIN/RST (FA) | 172.31.11.58:52342 -> 172.65.216.67:5500
[1783874541.038595] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:41092
[1783874551.038969] FIN/RST (FA) | 172.31.11.58:41092 -> 172.65.216.67:5500
[1783874556.084465] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:60584
[1783874558.085325] SYN | 172.31.11.58:62844 -> 172.65.216.67:5500
[1783874558.086148] SYN | 172.65.216.67:5500 -> 172.31.11.58:62844
[1783874558.086241] FIN/RST (FA) | 172.31.11.58:60584 -> 172.65.216.67:5500
[1783874567.673585] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:62844
[1783874569.686586] SYN | 172.31.11.58:50558 -> 172.65.216.67:5500
[1783874569.687787] SYN | 172.65.216.67:5500 -> 172.31.11.58:50558
